年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光市役所第４庁舎,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,熊谷市保健センター,東邦大学,千葉県環境研究センター,印旛健康福祉センター成田支所,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2018,2,10,9,4,28,4,12,0,0,0,4,4,0,12,16,20,4,4,12,4,16,4,20
2018,2,10,10,0,20,4,16,0,16,4,,8,0,0,4,8,20,0,12,8,20,12,45
2018,2,10,11,0,8,0,12,4,0,0,,0,12,4,8,8,4,8,24,8,12,28,12
2018,2,10,12,0,4,28,16,0,8,8,,0,4,12,8,8,4,4,16,4,8,8,8
2018,2,10,13,4,16,28,8,4,4,8,4,4,4,12,0,0,12,0,0,12,4,12,8
2018,2,10,14,4,12,36,4,0,0,8,0,4,12,28,12,8,4,0,8,12,12,4,20
2018,2,10,15,8,12,32,8,4,0,8,4,12,12,12,4,12,4,4,0,20,16,8,4
2018,2,10,16,0,16,49,16,4,0,77,0,0,24,16,0,12,16,12,0,8,12,24,0
2018,2,10,17,8,12,49,20,4,0,12,16,12,20,12,4,0,8,0,4,36,4,16,0
2018,2,10,18,8,16,24,20,0,8,49,16,4,20,32,4,0,41,4,4,12,8,20,4
2018,2,10,19,16,20,24,12,4,8,28,8,8,8,24,4,4,8,0,0,8,4,4,0
2018,2,10,20,16,4,20,12,12,4,12,4,4,16,28,0,0,12,0,0,0,4,0,4
2018,2,10,21,8,8,8,4,4,0,32,0,12,20,24,0,0,4,0,4,4,4,4,0
2018,2,10,22,0,4,8,12,0,4,0,8,16,8,8,0,4,0,0,0,0,4,0,0
2018,2,10,23,8,4,4,16,4,8,4,0,8,16,4,0,8,0,0,0,4,0,0,0
2018,2,10,24,4,0,0,8,4,12,0,12,8,4,0,0,0,0,0,8,0,0,0,0
2018,2,11,1,4,4,0,12,4,0,0,8,0,4,0,0,0,0,0,12,0,0,0,0
2018,2,11,2,0,4,0,8,0,4,0,4,12,4,4,0,4,0,0,12,0,0,4,8
2018,2,11,3,0,8,0,0,0,-9998,0,4,0,0,4,0,0,0,0,0,0,0,0,0
2018,2,11,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,4,4,4
2018,2,11,5,0,4,0,0,0,0,0,4,0,0,8,4,4,0,0,4,0,0,0,4
2018,2,11,6,0,8,0,0,0,0,4,0,0,4,4,8,12,0,0,4,0,0,0,4
2018,2,11,7,0,4,0,4,0,0,0,0,0,0,0,4,4,4,0,4,0,0,0,0
2018,2,11,8,8,4,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,8,0,4
