年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光特別地域気象観測所,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2017,2,9,2,4,0,4,0,0,0,8,12,4,0,0,4,16,8,8,16,0,4,16,12
2017,2,9,3,4,0,0,4,0,0,4,16,8,8,12,8,16,20,12,4,8,12,8,12
2017,2,9,4,0,4,4,8,0,16,24,16,12,0,16,12,16,12,8,53,4,24,8,8
2017,2,9,5,20,49,24,0,0,32,8,24,-9996,0,4,4,24,8,-9998,295,4,0,16,12
2017,2,9,6,-9996,12,-9998,0,4,16,12,8,-9996,8,4,98,0,-9998,0,262,8,0,0,4
2017,2,9,7,-9998,0,-9998,176,24,-9998,4,32,106,20,20,-9998,-9998,-9998,0,295,16,0,0,0
2017,2,9,8,-9998,-9998,-9998,-9996,168,4,20,196,4,4,20,0,0,-9998,4,344,16,0,0,8
2017,2,9,9,-9998,-9998,-9998,-9996,-9998,-9998,28,4,0,4,20,0,0,-9998,0,4,16,0,0,8
2017,2,9,10,-9998,0,-9998,-9998,-9998,0,24,4,4,16,28,0,0,0,0,8,16,0,0,12
2017,2,9,11,-9998,4,-9998,213,-9998,0,8,0,0,0,28,0,4,0,0,0,16,0,0,4
2017,2,9,12,0,0,0,24,53,-9998,12,0,8,4,16,0,8,4,-9998,0,8,0,0,8
2017,2,9,13,-9998,-9998,0,364,-9998,36,49,0,-9998,4,0,-9998,0,4,-9998,0,36,-9998,0,0
2017,2,9,14,0,-9998,0,-9998,28,-9998,20,4,-9998,8,0,-9998,0,0,0,-9998,36,-9998,0,-9998
2017,2,9,15,-9998,-9998,0,24,0,-9998,8,-9998,-9998,-9998,8,-9998,-9998,4,-9998,-9998,-9998,-9998,-9998,-9998
2017,2,9,16,4,-9998,4,0,20,32,0,-9998,-9998,-9998,4,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998
2017,2,9,17,-9998,-9998,0,-9998,4,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998
2017,2,9,18,-9998,-9998,-9998,-9998,-9998,12,-9998,-9998,-9998,-9998,-9998,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998
2017,2,9,19,0,-9998,-9998,0,-9998,8,0,0,-9998,-9998,-9998,-9998,-9998,0,-9998,-9998,0,0,-9998,0
2017,2,9,20,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998,0,0,-9998,0,-9998,-9998,4,-9998,-9998,-9998,4
2017,2,9,21,0,0,0,-9998,-9998,12,0,0,0,-9998,0,0,-9998,0,0,-9998,0,0,0,0
2017,2,9,22,-9998,0,0,45,-9998,4,0,-9998,0,0,4,0,0,0,0,0,0,0,4,0
2017,2,9,23,0,0,0,0,8,4,0,0,-9998,0,0,0,0,0,-9998,0,0,0,0,4
2017,2,9,24,0,0,0,0,0,0,0,0,-9998,-9998,0,-9998,-9998,0,0,0,0,0,0,0
2017,2,10,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2,10,2,0,0,0,0,0,0,0,0,0,0,4,0,0,-9998,4,0,0,0,0,0
2017,2,10,3,0,-9998,0,0,8,8,0,4,0,0,4,0,0,4,0,0,0,0,0,0
2017,2,10,4,4,4,0,0,4,12,4,0,0,0,0,0,0,4,0,0,0,0,0,0
2017,2,10,5,0,4,0,0,36,110,-9998,4,0,4,4,0,12,0,0,0,4,4,0,0
2017,2,10,6,0,0,0,0,28,8,0,0,0,0,164,0,0,0,0,0,0,0,0,4
2017,2,10,7,0,0,0,0,4,0,0,0,0,0,0,-9998,0,0,0,0,0,0,4,0
2017,2,10,8,0,-9998,4,16,-9998,36,0,0,0,0,0,0,0,-9998,-9998,4,0,0,0,4
2017,2,10,9,4,0,4,0,4,-9998,0,0,4,0,0,0,0,0,4,16,4,4,4,0
2017,2,10,10,16,4,0,188,12,0,4,8,12,8,4,4,12,4,0,8,4,4,0,0
2017,2,10,11,0,8,4,12,8,0,0,0,8,4,4,0,4,20,4,8,12,4,4,12
2017,2,10,12,4,8,8,389,4,0,0,8,8,8,4,0,4,41,0,8,8,12,0,4
2017,2,10,13,0,16,8,12,0,0,8,0,12,4,12,0,8,53,8,8,16,8,0,12
