年,月,日,時,笠間市役所,宇都宮市中央生涯学習センター,栃木県林業センター,日光特別地域気象観測所,群馬県衛生環境研究所,群馬県林木育種場,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁分庁舎,川崎生命科学・環境研究センター,神奈川県自然環境保全センター
2015,2,11,15,4,20,0,0,16,12,8,4,0,0,0,4,0,4,4,49,20,8
2015,2,11,16,0,0,8,0,32,12,4,4,0,0,0,8,8,0,8,28,20,8
2015,2,11,17,4,12,12,4,20,20,16,12,0,12,12,16,16,12,12,36,32,16
2015,2,11,18,16,4,4,4,94,8,12,,20,12,16,24,49,12,8,32,8,16
2015,2,11,19,0,8,4,0,73,16,12,4,16,16,4,12,69,16,4,53,24,12
2015,2,11,20,12,77,8,0,32,8,4,8,8,8,28,8,53,16,4,57,12,41
2015,2,11,21,16,8,12,0,16,4,4,0,0,4,16,16,20,16,0,53,28,16
2015,2,11,22,4,4,8,4,16,8,4,0,4,12,8,8,24,16,4,12,36,12
2015,2,11,23,8,69,0,0,20,4,8,0,4,12,12,24,32,8,0,45,8,8
2015,2,11,24,16,0,0,8,12,4,8,4,8,0,0,4,53,20,4,24,24,8
2015,2,12,1,0,0,0,0,20,12,8,0,4,12,4,12,36,8,0,8,16,32
2015,2,12,2,4,12,0,0,4,0,4,0,4,0,0,12,0,24,4,16,32,0
2015,2,12,3,0,8,0,0,8,4,12,0,0,8,4,0,4,24,0,28,16,16
2015,2,12,4,0,4,0,0,12,12,4,0,0,12,20,0,0,16,0,0,28,12
2015,2,12,5,0,0,4,0,8,4,12,4,0,0,16,0,0,8,0,20,16,16
2015,2,12,6,0,8,4,0,28,0,8,0,4,20,20,0,4,16,0,0,8,8
2015,2,12,7,4,0,4,0,32,0,4,0,0,4,12,0,0,4,0,4,36,0
2015,2,12,8,0,0,12,0,36,4,0,0,4,16,4,4,4,16,0,12,36,12
2015,2,12,9,8,0,12,0,24,4,24,4,0,16,8,4,4,12,12,32,41,8
2015,2,12,10,16,0,8,0,36,4,32,4,8,20,32,20,20,16,12,45,57,28
2015,2,12,11,8,4,0,4,36,4,16,8,24,0,36,12,20,4,8,110,69,4
2015,2,12,12,16,8,8,0,45,4,12,8,16,12,8,8,4,12,16,77,20,16
2015,2,12,13,12,8,8,0,12,0,24,0,4,4,12,8,4,20,12,24,32,36
2015,2,12,14,0,8,8,0,24,8,4,8,0,8,12,36,4,28,12,41,61,12
